v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v7_1,v7_2,v7_3,v7_4,v7_5,v7_6,v7_7,v7_8,v8,v9_1,v9_2,v10_1,v10_2,v10_3,v10_4,v10_5,v10_6,v10_7,v10_8,v10_9,v10_10,v10_11,v10_12,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22_1,v22_2,v22_3,v22_4,v22_5,v22_6,v23,v24,v25,v26,v27_1,v27_2,v27_3,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38
5,1,2,1,1,99,99,99,1,99,99,99,99,99,99,99,499,1,0,1,2,3,99,99,99,99,99,99,99,99,99,3,3,4,9,9,9,9,9,9,9,9,97,99,99,99,99,99,8,2,4,9,99,99,99,1,1,1,4,2,7,317,7,1,1,3
6,1,2,1,1,99,99,99,1,3,99,99,99,99,99,99,700,1,0,3,4,9,99,99,99,99,99,99,99,99,99,9,9,3,3,9,9,9,9,3,9,9,5,99,99,99,99,99,3,2,4,9,99,99,99,2,2,2,4,2,2,238,2,2,1,1
6,1,1,1,1,99,99,99,2,8,99,99,99,99,99,99,688,1,30,1,2,8,99,99,99,99,99,99,99,99,99,3,3,9,9,9,9,9,4,9,9,9,97,99,99,99,99,99,2,2,4,9,99,99,99,2,2,8,3,2,16,826,16,1,2,2
7,1,1,1,1,99,99,99,3,5,99,99,99,99,99,99,99999,4,30,2,3,9,99,99,99,99,99,99,99,99,99,9,8,8,9,9,9,9,9,8,9,9,5,99,99,99,99,99,3,2,8,9,99,99,99,1,2,1,4,2,9,406,9,1,1,2
8,1,1,1,1,99,99,99,2,3,5,7,99,99,99,99,400,99,98,1,2,3,99,99,99,99,99,99,99,99,99,5,4,5,9,9,9,9,9,9,9,9,97,99,99,99,99,99,8,2,4,9,99,99,99,1,1,2,6,2,16,802,16,1,1,4
5,1,1,1,1,99,99,99,1,3,4,8,99,99,99,99,299,0,20,1,3,4,9,99,99,99,99,99,99,99,99,3,9,3,3,9,9,9,9,3,9,9,3,5,99,99,99,99,2,2,2,9,99,99,99,1,1,2,3,2,16,813,16,1,2,2
6,3,1,1,1,99,99,99,1,99,99,99,99,99,99,99,1000,1,0,2,5,8,10,99,99,99,99,99,99,99,99,9,3,9,9,8,9,9,8,9,8,9,97,99,99,99,99,99,4,2,4,9,99,99,99,2,1,2,5,2,16,807,16,2,2,1
5,1,2,1,1,99,99,99,1,99,99,99,99,99,99,99,1300,2,30,1,2,4,10,99,99,99,99,99,99,99,99,3,3,9,3,9,9,9,9,9,3,9,1,2,3,4,5,99,4,2,2,9,99,99,99,2,1,2,4,2,15,741,15,2,1,2
8,3,2,1,1,99,99,99,1,3,99,99,99,99,99,99,900,3,0,1,4,9,10,99,99,99,99,99,99,99,99,4,9,9,3,9,9,9,9,4,4,9,5,99,99,99,99,99,3,2,2,9,99,99,99,1,2,1,3,2,16,800,16,1,1,2
4,1,2,1,1,99,99,99,1,99,99,99,99,99,99,99,2000,99,98,1,2,3,10,99,99,99,99,99,99,99,99,4,3,3,9,9,9,9,9,9,3,9,2,4,99,99,99,99,2,2,2,9,99,99,99,1,1,2,7,2,16,801,16,2,2,3
5,1,1,1,1,99,99,99,2,3,8,99,99,99,99,99,400,0,10,1,2,3,5,6,99,99,99,99,99,99,99,4,3,5,9,5,4,9,9,9,9,9,97,99,99,99,99,99,3,2,3,9,99,99,99,1,1,1,5,2,11,540,11,1,2,1
3,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,1350,1,30,3,4,8,9,11,99,99,99,99,99,99,99,9,9,4,4,9,9,9,4,4,9,4,97,99,99,99,99,99,3,2,2,9,99,99,99,2,1,2,6,2,5,320,5,1,1,2
4,1,2,1,1,99,99,99,1,3,5,6,7,8,99,99,500,2,0,1,2,3,4,10,99,99,99,99,99,99,99,3,4,4,3,9,9,9,9,9,4,9,2,5,99,99,99,99,3,2,3,9,99,99,99,1,1,2,4,2,9,436,9,2,1,3
7,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,899,3,0,1,2,3,4,9,99,99,99,99,99,99,99,4,3,4,4,9,9,9,9,4,9,9,97,99,99,99,99,99,1,2,3,9,99,99,99,1,1,1,5,2,5,330,5,1,2,2
8,1,1,1,1,99,99,99,2,3,4,7,99,99,99,99,299,0,15,1,2,3,5,9,10,99,99,99,99,99,99,3,8,3,9,5,9,9,9,5,8,9,2,5,99,99,99,99,1,2,8,9,99,99,99,1,1,2,6,2,16,813,16,1,2,1
2,1,1,1,1,99,99,99,1,8,99,99,99,99,99,99,99998,2,0,1,2,3,4,5,9,99,99,99,99,99,99,3,3,3,3,3,9,9,9,4,9,9,2,5,99,99,99,99,2,1,2,9,99,99,99,1,1,8,4,2,13,612,13,1,2,3
7,1,1,1,1,99,99,99,3,5,7,99,99,99,99,99,99999,2,0,1,2,3,4,7,9,99,99,99,99,99,99,4,3,5,4,9,9,4,9,5,9,9,2,4,99,99,99,99,2,2,3,9,99,99,99,1,1,1,5,2,2,242,2,1,1,4
3,1,1,1,1,99,99,99,1,3,5,7,99,99,99,99,99998,2,30,1,2,3,4,9,10,99,99,99,99,99,99,3,3,3,4,9,9,9,9,4,4,9,97,99,99,99,99,99,2,2,2,9,99,99,99,1,1,1,6,2,15,704,15,2,2,3
7,1,1,1,1,99,99,99,2,3,99,99,99,99,99,99,200,99,98,1,3,5,7,8,9,99,99,99,99,99,99,5,9,5,9,8,9,5,8,3,9,9,5,99,99,99,99,99,2,2,2,9,99,99,99,1,1,1,4,2,7,316,7,1,2,1
4,1,2,1,1,99,99,99,1,4,5,7,8,99,99,99,1000,1,30,1,2,3,4,5,6,7,8,9,10,99,99,3,3,3,3,4,4,4,4,5,5,9,2,5,99,99,99,99,2,2,3,9,99,99,99,2,1,2,6,2,2,234,2,1,1,2
8,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,188,0,5,2,99,99,99,99,99,99,99,99,99,99,99,9,2,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,2,2,4,9,99,99,99,2,2,2,2,2,2,220,2,1,1,4
7,1,1,1,1,99,99,99,2,3,8,99,99,99,99,99,199,0,5,2,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,8,2,8,9,99,99,99,2,2,8,2,2,14,600,14,1,2,2
8,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,499,0,10,2,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,3,2,3,9,99,99,99,1,1,8,1,2,2,998,2,1,2,2
6,1,1,1,1,99,99,99,3,6,99,99,99,99,99,99,99999,0,10,2,99,99,99,99,99,99,99,99,99,99,99,9,2,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,8,2,4,9,99,99,99,1,2,1,4,2,1,103,1,1,1,2
7,2,1,1,1,99,99,99,1,99,99,99,99,99,99,99,800,0,15,2,99,99,99,99,99,99,99,99,99,99,99,9,2,9,9,9,9,9,9,9,9,9,1,3,4,99,99,99,1,2,3,9,99,99,99,1,2,1,4,2,15,730,15,1,1,2
5,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,700,0,15,2,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,2,2,3,9,99,99,99,2,2,2,3,2,16,843,16,1,2,2
8,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,99998,0,15,2,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,3,2,4,9,99,99,99,1,2,8,2,2,5,333,5,1,1,8
4,2,1,1,1,99,99,99,2,99,99,99,99,99,99,99,850,0,30,2,99,99,99,99,99,99,99,99,99,99,99,9,2,9,9,9,9,9,9,9,9,9,2,99,99,99,99,99,3,2,3,9,99,99,99,2,1,2,4,2,16,830,16,1,1,4
6,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,450,0,30,2,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,9,9,2,4,5,99,99,99,2,2,4,9,99,99,99,1,2,2,5,2,8,350,8,1,1,3
5,1,1,1,1,99,99,99,1,3,5,99,99,99,99,99,1000,0,30,2,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,2,2,3,9,99,99,99,1,1,2,4,2,17,913,17,1,1,2
7,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,299,1,0,2,99,99,99,99,99,99,99,99,99,99,99,9,2,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,3,2,4,9,99,99,99,2,2,1,4,2,4,265,4,2,2,2
3,1,1,1,1,99,99,99,1,3,99,99,99,99,99,99,700,1,0,2,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,9,9,2,3,4,5,99,99,4,2,2,9,99,99,99,2,1,1,4,2,9,404,10,1,1,3
5,1,1,1,1,99,99,99,1,3,5,99,99,99,99,99,250,2,30,2,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,9,9,2,5,99,99,99,99,2,2,4,9,99,99,99,1,1,1,4,2,15,709,15,1,1,3
6,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,1000,3,0,2,99,99,99,99,99,99,99,99,99,99,99,9,2,9,9,9,9,9,9,9,9,9,4,99,99,99,99,99,2,1,2,9,99,99,99,1,1,1,5,2,2,241,2,1,1,3
8,1,1,1,1,99,99,99,2,99,99,99,99,99,99,99,500,99,98,2,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,8,2,4,9,99,99,99,2,2,2,3,2,2,247,2,1,1,8
8,1,1,1,1,99,99,99,1,3,99,99,99,99,99,99,679,99,98,2,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,9,9,2,5,99,99,99,99,2,2,4,9,99,99,99,2,2,2,2,2,2,242,2,1,1,3
6,1,1,1,1,99,99,99,1,3,99,99,99,99,99,99,99998,99,98,2,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,9,9,2,99,99,99,99,99,2,2,4,9,99,99,99,1,2,1,5,2,15,708,15,1,2,2
8,1,1,1,1,99,99,99,98,99,99,99,99,99,99,99,99999,99,98,2,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,2,2,4,9,99,99,99,2,2,2,2,2,2,238,2,1,2,2
8,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,119,0,10,1,2,99,99,99,99,99,99,99,99,99,99,4,2,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,2,2,4,9,99,99,99,2,1,2,4,2,15,714,15,1,1,2
6,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,99998,0,10,1,2,99,99,99,99,99,99,99,99,99,99,4,1,9,9,9,9,9,9,9,9,9,2,99,99,99,99,99,2,2,4,9,99,99,99,1,1,8,4,2,1,114,1,1,2,3
7,1,1,1,1,99,99,99,2,99,99,99,99,99,99,99,398,0,30,1,2,99,99,99,99,99,99,99,99,99,99,3,2,9,9,9,9,9,9,9,9,9,2,4,5,99,99,99,8,2,4,9,99,99,99,1,1,1,4,2,9,434,9,1,2,2
6,1,1,1,1,99,99,99,2,3,99,99,99,99,99,99,399,0,30,2,4,99,99,99,99,99,99,99,99,99,99,9,1,9,3,9,9,9,9,9,9,9,5,99,99,99,99,99,2,2,4,9,99,99,99,1,2,1,4,2,9,434,9,1,2,2
7,1,1,1,1,99,99,99,2,8,99,99,99,99,99,99,540,0,30,2,4,99,99,99,99,99,99,99,99,99,99,9,1,9,8,9,9,9,9,9,9,9,97,99,99,99,99,99,3,2,3,9,99,99,99,2,2,2,3,2,2,242,2,1,1,2
8,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,699,0,30,1,2,99,99,99,99,99,99,99,99,99,99,4,1,9,9,9,9,9,9,9,9,9,2,5,99,99,99,99,1,2,4,9,99,99,99,2,1,2,2,2,5,330,5,1,1,4
8,1,1,1,1,99,99,99,98,99,99,99,99,99,99,99,99999,0,30,1,2,99,99,99,99,99,99,99,99,99,99,4,1,9,9,9,9,9,9,9,9,9,2,99,99,99,99,99,2,2,3,9,99,99,99,1,2,2,3,1,3,204,3,1,2,1
6,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,499,1,0,2,3,99,99,99,99,99,99,99,99,99,99,9,1,3,9,9,9,9,9,9,9,9,97,99,99,99,99,99,1,2,1,9,99,99,99,2,1,1,4,2,10,508,10,1,1,1
6,1,2,1,1,99,99,99,2,3,5,99,99,99,99,99,560,1,0,2,8,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,5,9,9,9,96,99,99,99,99,99,2,2,1,9,99,99,99,2,1,1,4,2,7,316,7,1,1,3
7,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,650,1,0,1,2,99,99,99,99,99,99,99,99,99,99,5,1,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,2,2,4,9,99,99,99,2,1,2,3,2,21,890,21,1,1,2
8,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,699,1,0,2,4,99,99,99,99,99,99,99,99,99,99,9,1,9,3,9,9,9,9,9,9,9,97,99,99,99,99,99,2,2,4,9,99,99,99,1,2,8,1,2,9,404,9,1,2,1
8,1,1,1,1,99,99,99,1,3,99,99,99,99,99,99,1000,1,10,2,6,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,4,9,9,9,9,9,97,99,99,99,99,99,2,2,2,9,99,99,99,1,2,1,6,2,9,427,9,1,1,1
6,2,1,1,1,99,99,99,1,99,99,99,99,99,99,99,1400,1,30,1,2,99,99,99,99,99,99,99,99,99,99,4,2,9,9,9,9,9,9,9,9,9,2,4,5,99,99,99,3,2,4,9,99,99,99,1,2,1,4,2,16,813,16,1,2,1
6,1,1,1,1,99,99,99,1,3,99,99,99,99,99,99,420,1,30,1,2,99,99,99,99,99,99,99,99,99,99,5,1,9,9,9,9,9,9,9,9,9,5,99,99,99,99,99,2,2,4,9,99,99,99,1,2,8,4,2,2,221,2,1,2,2
8,2,1,1,1,99,99,99,1,99,99,99,99,99,99,99,499,2,0,2,3,99,99,99,99,99,99,99,99,99,99,9,1,3,9,9,9,9,9,9,9,9,97,99,99,99,99,99,8,8,8,9,99,99,99,2,2,8,8,2,1,116,1,1,2,8
7,1,1,1,1,99,99,99,1,3,99,99,99,99,99,99,502,2,0,1,2,99,99,99,99,99,99,99,99,99,99,4,1,9,9,9,9,9,9,9,9,9,2,99,99,99,99,99,8,2,3,9,99,99,99,1,1,1,6,2,16,807,16,1,1,3
6,2,1,1,1,99,99,99,1,3,99,99,99,99,99,99,99998,2,30,2,4,99,99,99,99,99,99,99,99,99,99,9,1,9,8,9,9,9,9,9,9,9,5,99,99,99,99,99,3,2,8,9,99,99,99,1,1,1,4,2,15,709,15,1,1,2
2,1,1,1,1,99,99,99,1,5,8,99,99,99,99,99,1150,4,0,2,4,99,99,99,99,99,99,99,99,99,99,9,1,9,3,9,9,9,9,9,9,9,2,5,99,99,99,99,2,1,2,9,99,99,99,2,1,2,3,2,19,983,19,1,1,2
6,1,1,1,1,99,99,99,1,3,6,99,99,99,99,99,499,5,0,1,2,99,99,99,99,99,99,99,99,99,99,4,1,9,9,9,9,9,9,9,9,9,2,5,99,99,99,99,2,1,3,9,99,99,99,1,1,1,4,2,8,369,8,1,2,2
8,2,1,1,1,99,99,99,1,3,99,99,99,99,99,99,650,99,98,1,2,99,99,99,99,99,99,99,99,99,99,5,1,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,3,2,8,9,99,99,99,2,2,2,4,2,12,633,12,1,1,1
6,1,1,1,1,99,99,99,1,8,99,99,99,99,99,99,699,99,98,1,2,99,99,99,99,99,99,99,99,99,99,8,2,9,9,9,9,9,9,9,9,9,2,99,99,99,99,99,2,2,8,9,99,99,99,1,2,2,4,1,20,958,20,1,2,1
7,1,1,1,1,99,99,99,2,3,99,99,99,99,99,99,299,0,5,1,2,3,99,99,99,99,99,99,99,99,99,5,2,4,9,9,9,9,9,9,9,9,5,99,99,99,99,99,2,2,3,9,99,99,99,2,2,1,3,2,9,411,9,1,1,2
5,1,1,1,1,99,99,99,2,3,99,99,99,99,99,99,398,0,10,1,2,3,99,99,99,99,99,99,99,99,99,5,1,3,9,9,9,9,9,9,9,9,2,99,99,99,99,99,2,2,8,9,99,99,99,1,1,1,5,2,9,427,9,1,2,3
7,1,1,1,1,99,99,99,2,99,99,99,99,99,99,99,500,0,10,1,2,4,99,99,99,99,99,99,99,99,99,3,1,9,3,9,9,9,9,9,9,9,2,5,99,99,99,99,3,2,2,9,99,99,99,1,2,2,4,2,18,880,18,1,1,1
6,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,700,0,10,2,3,9,99,99,99,99,99,99,99,99,99,9,2,8,9,9,9,9,9,5,9,9,97,99,99,99,99,99,8,2,4,9,99,99,99,1,2,8,4,2,14,601,14,1,1,1
4,1,1,1,1,99,99,99,1,3,5,7,99,99,99,99,499,0,15,1,2,4,99,99,99,99,99,99,99,99,99,4,2,9,4,9,9,9,9,9,9,9,2,5,99,99,99,99,2,2,4,9,99,99,99,2,2,2,2,2,8,356,8,1,2,2
7,1,1,1,1,99,99,99,2,3,5,99,99,99,99,99,299,0,20,2,3,9,99,99,99,99,99,99,99,99,99,9,1,5,9,9,9,9,9,8,9,9,97,99,99,99,99,99,2,2,2,9,99,99,99,1,1,1,6,1,7,317,7,2,1,1
6,2,2,1,1,99,99,99,1,99,99,99,99,99,99,99,399,0,30,1,2,3,99,99,99,99,99,99,99,99,99,4,1,4,9,9,9,9,9,9,9,9,97,99,99,99,99,99,1,2,3,9,99,99,99,2,2,1,2,2,10,500,10,1,2,2
7,1,1,1,1,99,99,99,2,3,99,99,99,99,99,99,200,0,30,1,2,3,99,99,99,99,99,99,99,99,99,8,1,3,9,9,9,9,9,9,9,9,97,99,99,99,99,99,8,2,4,9,99,99,99,1,2,1,2,2,14,600,14,1,1,8
6,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,599,0,30,1,2,4,99,99,99,99,99,99,99,99,99,5,1,9,4,9,9,9,9,9,9,9,97,99,99,99,99,99,2,2,2,9,99,99,99,2,2,2,4,2,14,601,14,1,1,2
5,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,1399,0,30,1,2,9,99,99,99,99,99,99,99,99,99,3,1,9,9,9,9,9,9,3,9,9,2,5,99,99,99,99,2,2,1,9,99,99,99,2,2,2,3,2,11,540,11,2,2,3
8,1,1,1,1,99,99,99,1,8,99,99,99,99,99,99,99998,0,30,1,2,4,99,99,99,99,99,99,99,99,99,3,2,9,8,9,9,9,9,9,9,9,97,99,99,99,99,99,2,2,3,9,99,99,99,2,2,8,2,2,20,963,20,1,2,2
6,1,1,1,1,99,99,99,3,99,99,99,99,99,99,99,99999,0,30,1,2,3,99,99,99,99,99,99,99,99,99,3,2,5,9,9,9,9,9,9,9,9,96,99,99,99,99,99,3,2,4,9,99,99,99,1,1,1,4,2,13,622,13,1,2,2
7,1,1,1,1,99,99,99,1,8,99,99,99,99,99,99,400,1,0,1,2,5,99,99,99,99,99,99,99,99,99,4,1,9,9,5,9,9,9,9,9,9,5,99,99,99,99,99,2,2,2,9,99,99,99,1,2,2,2,2,13,616,13,2,2,2
7,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,530,1,0,1,2,8,99,99,99,99,99,99,99,99,99,4,1,9,9,9,9,9,5,9,9,9,97,99,99,99,99,99,2,2,4,9,99,99,99,1,1,1,4,1,3,205,3,1,1,2
8,2,1,1,1,99,99,99,1,3,6,99,99,99,99,99,1893,1,30,1,2,11,99,99,99,99,99,99,99,99,99,8,1,9,9,9,9,9,9,9,9,8,2,5,99,99,99,99,1,2,4,9,99,99,99,1,2,2,5,2,2,244,2,1,1,3
6,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,1060,2,0,1,2,3,99,99,99,99,99,99,99,99,99,8,1,5,9,9,9,9,9,9,9,9,1,2,3,5,99,99,2,2,4,9,99,99,99,1,2,1,6,2,16,830,16,1,1,3
5,3,2,1,1,99,99,99,1,99,99,99,99,99,99,99,1000,3,0,1,2,3,99,99,99,99,99,99,99,99,99,4,1,3,9,9,9,9,9,9,9,9,2,3,5,99,99,99,3,1,2,9,99,99,99,2,1,2,4,2,15,744,15,2,1,2
7,1,1,1,1,99,99,99,1,5,99,99,99,99,99,99,488,3,0,2,3,9,99,99,99,99,99,99,99,99,99,9,1,8,9,9,9,9,9,5,9,9,2,3,4,5,99,99,4,2,3,9,99,99,99,2,1,2,5,2,4,262,4,1,1,2
4,1,2,1,1,99,99,99,1,99,99,99,99,99,99,99,850,4,0,1,2,10,99,99,99,99,99,99,99,99,99,3,1,9,9,9,9,9,9,9,3,9,2,3,99,99,99,99,2,2,1,9,99,99,99,2,2,2,5,2,9,407,9,2,2,3
3,1,1,1,1,99,99,99,1,3,5,7,99,99,99,99,1000,5,0,1,2,9,99,99,99,99,99,99,99,99,99,3,1,9,9,9,9,9,9,3,9,9,1,2,3,4,99,99,2,2,2,9,99,99,99,1,1,1,7,2,1,116,1,2,1,3
8,2,1,1,1,99,99,99,1,99,99,99,99,99,99,99,800,99,98,1,2,3,99,99,99,99,99,99,99,99,99,4,1,5,9,9,9,9,9,9,9,9,97,99,99,99,99,99,2,2,8,9,99,99,99,1,1,2,3,2,9,406,9,1,1,2
7,4,1,1,1,99,99,99,1,3,4,5,7,8,99,99,2000,0,30,1,2,3,10,99,99,99,99,99,99,99,99,3,2,5,9,9,9,9,9,9,5,9,2,99,99,99,99,99,3,2,2,9,99,99,99,1,1,1,7,2,5,325,5,1,1,3
8,1,1,1,1,99,99,99,2,3,99,99,99,99,99,99,299,0,30,1,2,9,10,99,99,99,99,99,99,99,99,5,1,9,9,9,9,9,9,5,3,9,1,4,5,99,99,99,1,2,4,9,99,99,99,1,1,1,5,2,16,801,16,1,1,2
5,1,1,1,1,99,99,99,2,3,99,99,99,99,99,99,399,0,30,1,2,3,6,99,99,99,99,99,99,99,99,3,2,3,9,9,5,9,9,9,9,9,2,99,99,99,99,99,2,2,2,9,99,99,99,1,1,1,4,2,10,516,10,1,1,2
8,1,1,1,1,99,99,99,2,3,8,99,99,99,99,99,599,0,30,1,2,3,4,99,99,99,99,99,99,99,99,4,2,4,3,9,9,9,9,9,9,9,2,99,99,99,99,99,2,2,3,9,99,99,99,2,2,2,2,2,6,305,6,1,1,1
8,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,499,0,40,1,2,3,9,99,99,99,99,99,99,99,99,5,2,4,9,9,9,9,9,5,9,9,4,5,99,99,99,99,2,2,4,9,99,99,99,1,1,1,6,2,5,334,5,1,2,2
4,1,1,1,1,99,99,99,1,3,99,99,99,99,99,99,400,1,0,1,2,3,8,99,99,99,99,99,99,99,99,3,1,3,9,9,9,9,5,9,9,9,2,5,99,99,99,99,2,2,2,9,99,99,99,2,1,2,7,2,16,802,15,2,2,3
5,1,1,1,1,99,99,99,1,3,8,99,99,99,99,99,1300,1,0,1,2,8,9,99,99,99,99,99,99,99,99,3,2,9,9,9,9,9,4,4,9,9,2,99,99,99,99,99,4,2,2,9,99,99,99,1,1,1,6,2,16,807,16,1,1,2
